"Attacking","Defending_Normal","Defending_Fighting","Defending_Flying","Defending_Poison","Defending_Ground","Defending_Rock","Defending_Bug","Defending_Ghost","Defending_Steel","Defending_Fire","Defending_Water","Defending_Grass","Defending_Electric","Defending_Psychic","Defending_Ice","Defending_Dragon","Defending_Dark","Defending_Fairy"
"Normal",1,1,1,1,1,0.5,1,0,0.5,1,1,1,1,1,1,1,1,1
"Fighting",2,1,0.5,0.5,1,2,0.5,0,2,1,1,1,1,0.5,2,1,2,0.5
"Flying",1,2,1,1,1,0.5,2,1,0.5,1,1,2,0.5,1,1,1,1,1
"Poison",1,1,1,0.5,0.5,0.5,1,0.5,0,1,1,2,1,1,1,1,1,2
"Ground",1,1,0,2,1,2,0.5,1,2,2,1,0.5,2,1,1,1,1,1
"Rock",1,0.5,2,1,0.5,1,2,1,0.5,2,1,1,1,1,2,1,1,1
"Bug",1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,2,1,2,1,1,2,0.5
"Ghost",0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0.5,1
"Steel",1,1,1,1,1,2,1,1,0.5,0.5,0.5,1,0.5,1,2,1,1,2
"Fire",1,1,1,1,1,0.5,2,1,2,0.5,0.5,2,1,1,2,0.5,1,1
"Water",1,1,1,1,2,2,1,1,1,2,0.5,0.5,1,1,1,0.5,1,1
"Grass",1,1,0.5,0.5,2,2,0.5,1,0.5,0.5,2,0.5,1,1,1,0.5,1,1
"Electric",1,1,2,1,0,1,1,1,1,1,2,0.5,0.5,1,1,0.5,1,1
"Psychic",1,2,1,2,1,1,1,1,0.5,1,1,1,1,0.5,1,1,0,1
"Ice",1,1,2,1,2,1,1,1,0.5,0.5,0.5,2,1,1,0.5,2,1,1
"Dragon",1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,2,1,0
"Dark",1,0.5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0.5,0.5
"Fairy",1,2,1,0.5,1,1,1,1,0.5,0.5,1,1,1,1,1,2,2,1
